"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 01 06:06:56 GMT 2022","Thu Dec 01 06:07:37 GMT 2022","41745","","Learn Portal - Sign up page test","","Learn Portal - Sign up page test","316000 TC_04 - Login to Learn Portal with valid phone number - invalid otp","316000 TC_04 - Login to Learn Portal with valid phone number - invalid otp",""
"passed","Thu Dec 01 06:05:19 GMT 2022","Thu Dec 01 06:06:56 GMT 2022","96603","","Learn Portal - Sign up page test","","Learn Portal - Sign up page test","315997 TC_01 - Sign up page submitting the form blank validations","315997 TC_01 - Sign up page submitting the form blank validations",""
"passed","Fri Dec 09 12:56:11 GMT 2022","Fri Dec 09 12:56:14 GMT 2022","2773","","Learn Portal - Sign up page test","","Learn Portal - Sign up page test","315997 TC_01 - Sign up page submitting the form blank validations","315997 TC_01 - Sign up page submitting the form blank validations",""
"passed","Fri Dec 09 12:56:14 GMT 2022","Fri Dec 09 12:56:17 GMT 2022","2588","","Learn Portal - Sign up page test","","Learn Portal - Sign up page test","316000 TC_04 - Login to Learn Portal with valid phone number - invalid otp","316000 TC_04 - Login to Learn Portal with valid phone number - invalid otp",""
"passed","Wed Nov 30 11:45:49 GMT 2022","Wed Nov 30 11:46:40 GMT 2022","50531","","Learn Portal - Login Test cases","","Learn Portal - Login Test cases","315930 TC_01 Free User-Login to Learn Portal - With valid phone number and otp","315930 TC_01 Free User-Login to Learn Portal - With valid phone number and otp",""
